# 0 Sample: 1 Time: 2.4532988 POSN: (8.0, 10.0, 0.0)
VEL: (0.0, 0.0, 0.0) ROT: (0.0, 0.0, 0.0)
# 1 Sample: 1 Time: 2.4532988 POSN: (4.0, 11.0, 6.0)
VEL: (10.0, 0.0, 0.0) ROT: (0.0, 0.0, 0.0)
# 2 Sample: 1 Time: 2.4532988 POSN: (-3.0, 12.0, 7.0)
VEL: (20.0, 0.0, 0.0) ROT: (0.0, 0.0, 0.0)
# 0 Sample: 2 Time: 0.97675 POSN: (10.145356, 9.506086, -2.3077028)
VEL: (31.94385, -7.707719, -34.764244) ROT: (0.47495905, 3.2772892, -0.23885159)
# 1 Sample: 2 Time: 0.97675 POSN: (5.7910757, 11.090511, 7.5169516)
VEL: (27.29985, 1.8564639, 23.593227) ROT: (0.040956292, 1.4549395, -1.3525354)
# 2 Sample: 2 Time: 0.97675 POSN: (-4.936432, 12.3216505, 7.790751)
VEL: (-29.243694, 3.8892548, 11.171015) ROT: (-0.3696502, -1.9221859, -1.1585672)
# 0 Sample: 3 Time: 0.60811 POSN: (12.274945, 8.964988, -4.6253195)
VEL: (31.94385, -8.361718, -34.764244) ROT: (0.47495905, 3.2772892, -0.23885159)
# 1 Sample: 3 Time: 0.60811 POSN: (7.611066, 11.187026, 9.089834)
VEL: (27.29985, 1.2024636, 23.593227) ROT: (0.040956292, 1.4549395, -1.3525354)
# 2 Sample: 3 Time: 0.60811 POSN: (-6.886011, 12.553684, 8.535486)
VEL: (-29.243694, 3.2352545, 11.171015) ROT: (-0.3696502, -1.9221859, -1.1585672)
# 0 Sample: 4 Time: 0.461828 POSN: (14.404534, 8.38029, -6.942935)
VEL: (31.94385, -9.0157175, -34.764244) ROT: (0.47495905, 3.2772892, -0.23885159)
# 1 Sample: 4 Time: 0.461828 POSN: (9.431057, 11.23994, 10.662718)
VEL: (27.29985, 0.5484635, 23.593227) ROT: (0.040956292, 1.4549395, -1.3525354)
# 2 Sample: 4 Time: 0.461828 POSN: (-8.835591, 12.742118, 9.280222)
VEL: (-29.243694, 2.5812542, 11.171015) ROT: (-0.3696502, -1.9221859, -1.1585672)
# 0 Sample: 5 Time: 0.063129 POSN: (12.274945, 7.951912, -8.2542715)
VEL: (-31.943834, -6.6709237, -19.67006) ROT: (0.47496128, -3.568388, 1.1212026)
# 1 Sample: 5 Time: 0.063129 POSN: (11.251049, 11.249254, 12.235601)
VEL: (27.29985, -0.10553652, 23.593227) ROT: (0.040956292, 1.4549395, -1.3525354)
# 2 Sample: 5 Time: 0.063129 POSN: (-10.785172, 12.886951, 10.024958)
VEL: (-29.243694, 1.927254, 11.171015) ROT: (-0.3696502, -1.9221859, -1.1585672)
# 0 Sample: 6 Time: 1.421131 POSN: (10.145356, 7.4799337, -9.565608)
VEL: (-31.943834, -7.324923, -19.67006) ROT: (0.47496128, -3.568388, 1.1212026)
# 1 Sample: 6 Time: 1.421131 POSN: (13.071041, 11.214969, 13.808485)
VEL: (27.29985, -0.75953656, 23.593227) ROT: (0.040956292, 1.4549395, -1.3525354)
# 2 Sample: 6 Time: 1.421131 POSN: (-12.734754, 12.988185, 10.769693)
VEL: (-29.243694, 1.2732537, 11.171015) ROT: (-0.3696502, -1.9221859, -1.1585672)
# 0 Sample: 7 Time: 0.624024 POSN: (8.015767, 6.9643555, -10.876945)
VEL: (-31.943834, -7.9789224, -19.67006) ROT: (0.47496128, -3.568388, 1.1212026)
# 1 Sample: 7 Time: 0.624024 POSN: (14.555447, 11.151115, 13.808485)
VEL: (17.232285, -0.9925504, -23.593227) ROT: (-0.15198119, -3.1590157, -1.3525354)
# 2 Sample: 7 Time: 0.624024 POSN: (-14.684335, 13.045818, 11.514429)
VEL: (-29.243694, 0.6192536, 11.171015) ROT: (-0.3696502, -1.9221859, -1.1585672)
# 0 Sample: 8 Time: 0.927617 POSN: (5.886178, 6.405177, -12.188281)
VEL: (-31.943834, -8.632922, -19.67006) ROT: (0.47496128, -3.568388, 1.1212026)
# 1 Sample: 8 Time: 0.927617 POSN: (13.406628, 11.220249, 12.356764)
VEL: (-17.232285, 0.7917553, -21.775816) ROT: (-0.15198113, -3.9919336, -0.23506233)
# 2 Sample: 8 Time: 0.927617 POSN: (-12.734754, 12.934096, 12.240622)
VEL: (29.2437, -1.9210892, 10.892864) ROT: (-0.3696503, -2.053261, -0.26965716)
# 0 Sample: 9 Time: 0.312531 POSN: (3.756589, 5.802399, -13.499618)
VEL: (-31.943834, -9.2869215, -19.67006) ROT: (0.47496128, -3.568388, 1.1212026)
# 1 Sample: 9 Time: 0.312531 POSN: (12.257809, 11.245783, 10.905043)
VEL: (-17.232285, 0.13775527, -21.775816) ROT: (-0.15198113, -3.9919336, -0.23506233)
# 2 Sample: 9 Time: 0.312531 POSN: (-10.785172, 12.778773, 12.966814)
